Pokemon,No.,Caught?,Ruby,Sapphire,Leafgreen,Firered,Emerald,Colosseum,XD: Gale of Darkness
Pidgey,16,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Routes 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15 & 25, Viridian Forest, Bond Bridge, Berry Bush, Five Isle Meadow","Routes 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15 & 25, Viridian Forest, Bond Bridge, Berry Bush, Five Isle Meadow",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Pidgeotto,17,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Routes 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15 & 25, Viridian Forest, Bond Bridge, Berry Bush, Five Isle Meadow","Routes 13, 14, & 15, Bond Bridge, Five Isle Meadow",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Lok in Cipher Key Lair
Pidgeot,18,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Pidgeotto,Evolve Pidgeotto,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Pidgeotto
Rattata,19,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Routes 1, 2, 4, 9, 17, 18, 22 & Pokémon Mansion","Routes 1, 2, 4, 9, 17, 18, 22 & Pokémon Mansion",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Raticate,20,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Routes 17, 18 & Pokémon Mansion","Routes 17, 18 & Pokémon Mansion",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Chaser Furgy in Citadark Isle
Spearow,21,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Routes 3, 4, 9, 10, 11, 17, 18, 22, 23, Treasure Beach, Kindle Road, Mt. Ember, Cape Brink, Water Path, Ruin Valley, Canyon Entrance","Routes 3, 4, 9, 10, 11, 17, 18, 22, 23, Treasure Beach, Kindle Road, Mt. Ember, Cape Brink, Water Path, Ruin Valley, Canyon Entrance",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Ezin in Phenac Stadium
Fearow,22,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Routes 17, 18, 23, Treasure Beach, Kindle Road, Mt. Ember, Cape Brink, Water Path, Ruin Valley, Canyon Entrance, Seavault Canyon","Routes 17, 18, 23, Treasure Beach, Kindle Road, Mt. Ember, Cape Brink, Water Path, Ruin Valley, Canyon Entrance, Seavault Canyon",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Spearow
Ekans,23,FALSE,Trade from FireRed,Trade from FireRed,Trade from FireRed,"Routes 4, 8, 9, 10, 11, 22 & 23",Trade from FireRed,Trade from FireRed,Trade from FireRed
Arbok,24,FALSE,Trade from FireRed/XD,Trade from FireRed/XD,Trade from FireRed/XD,Route 23 & Victory Road,Trade from FireRed/XD,Trade from FireRed/XD,Snagged from Cipher Peon Smarton in Cipher Key Lair
Pikachu,25,FALSE,Safari Zone; SouthWest & SouthEast,Safari Zone; SouthWest & SouthEast,Viridian Forest & Power Plant,Viridian Forest & Power Plant,Safari Zone; SouthWest & SouthEast,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Raichu,26,FALSE,Evolve Pikachu,Evolve Pikachu,Evolve Pikachu,Evolve Pikachu,Evolve Pikachu,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Sandshrew,27,FALSE,Route 113,Route 113,"Routes 4, 8, 9, 10, 11, 22 & 23",Must Trade from Ruby/Sapphire/Emerald/LeafGreen/XD,"Route 113, Desert, Mirage Tower",Trade from Ruby/Sapphire/Emerald/LeafGreen/XD,Desert PokéSpot
Sandslash,28,FALSE,Evolve Sandshrew,Evolve Sandshrew,Route 23 & Victory Road,Must Trade from Ruby/Sapphire/Emerald/LeafGreen/XD,Evolve Sandshrew,Trade from Ruby/Sapphire/Emerald/LeafGreen/XD,Evolve Sandshrew
Nidoran (F),29,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Route 3, Safari Zone Areas 1, 2 & 3","Route 3, Safari Zone Areas 1 & 2",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Nidorina,30,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Safari Zone Areas 1, 2 & 3",Safari Zone Area 2,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Nidoqueen,31,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Nidorina,Evolve Nidorina,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Nidoran (M),32,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Route 3, Safari Zone Areas 1 & 3","Route 3, Safari Zone Areas 1, 2 & 3",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Nidorino,33,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Safari Zone Area 2,"Safari Zone Areas 1, 2 & 3",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Nidoking,34,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Nidorino,Evolve Nidorino,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Clefairy,35,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Mt. Moon 1st Floor & Basement 2,Mt. Moon 1st Floor & Basement 2,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Clefable,36,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Clefairy,Evolve Clefairy,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Vulpix,37,FALSE,Mt. Pyre Grass,Mt. Pyre Grass,"Routes 7 & 8, Pokémon Mansion Floors 1, 2, 3 & Basement",Trade from Ruby/Sapphire/Emerald/LeafGreen/XD,Mt. Pyre Grass,Trade from Ruby/Sapphire/Emerald/LeafGreen/XD,Snagged from Cipher Peon Mesin in ONBS Station
Ninetales,38,FALSE,Evolve Vulpix,Evolve Vulpix,Evolve Vulpix,Trade from Ruby/Sapphire/Emerald/LeafGreen/XD,Evolve Vulpix,Trade from Ruby/Sapphire/Emerald/LeafGreen/XD,Evolve Vulpix
Jigglypuff,39,FALSE,Route 115,Route 115,Route 3,Route 3,Route 115,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Wigglytuff,40,FALSE,Evolve Jigglypuff,Evolve Jigglypuff,Evolve Jigglypuff,Evolve Jigglypuff,Evolve Jigglypuff,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Zubat,41,FALSE,"Cave of Origin Entrance & Floors 1 & Basements 1, 2 & 3, Granite Cave Floors 1 & Basement 1 & 2, Meteor Falls Entrance, Seafloor Cavern, Shoal Cave, Victory Road Floor 1","Cave of Origin Entrance & Floors 1 & Basements 1, 2 & 3, Granite Cave Floors 1 & Basement 1 & 2, Meteor Falls Entrance, Seafloor Cavern, Shoal Cave, Victory Road Floor 1","Altering Cave, Icefall Cave Floors 1 & Basement, Lost Cave, Mt. Moon Floor 1 & Basement 2, Rock Tunnel Floor 1 & Basement 1, Seafoam Island Floor 1 & Basements 1, 2 & 3, Victory Road Floors 1, 2 & 3","Altering Cave, Icefall Cave Floors 1 & Basement, Lost Cave, Mt. Moon Floor 1 & Basement 2, Rock Tunnel Floor 1 & Basement 1, Seafoam Island Floor 1 & Basements 1, 2 & 3, Victory Road Floors 1, 2 & 3","Altering Cave, Cave of Origin Entrance & Floors 1 & Basements 1, 2 & 3, Granite Cave Floors 1 & Basement 1 & 2, Meteor Falls Entrance, Seafloor Cavern, Shoal Cave, Victory Road Floor 1",Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Cave PokéSpot
Golbat,42,FALSE,"Cave of Origin Floors 1 & Basements 1, 2 & 3, Meteor Falls, Seafloor Cavern, Shoal Cave, Sky Pillar Floors 1, 3 & 5, Victory Road Floor 1 & Basements 1 & 2","Cave of Origin Floors 1 & Basements 1, 2 & 3, Meteor Falls, Seafloor Cavern, Shoal Cave, Sky Pillar Floors 1, 3 & 5, Victory Road Floor 1 & Basements 1 & 2","Cerulean Cave Floors 1, 2 & Basement 1, Icefall Cave Floors 1 & Basement, Lost Cave, Seafoam Island Floor 1 & Basements 1, 2 & 3, Victory Road Floors 1, 2 & 3","Cerulean Cave Floors 1, 2 & Basement 1, Icefall Cave Floors 1 & Basement, Lost Cave, Seafoam Island Floor 1 & Basements 1, 2 & 3, Victory Road Floors 1, 2 & 3","Cave of Origin Floors 1 & Basements 1, 2 & 3, Meteor Falls, Seafloor Cavern, Shoal Cave, Sky Pillar Floors 1, 3 & 5, Victory Road Floor 1 & Basements 1 & 2",Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Evolve Zubat
Oddish,43,FALSE,"Routes 110, 117, 119, 120, 121 & 123, Safari Zone","Routes 110, 117, 119, 120, 121 & 123, Safari Zone",Trade from Ruby/Sapphire/Emerald/FireRed,"Routes 5, 6, 7, 12, 13, 14, 15, 24, 25, Berry Forest, Bond Bridge, Cape Brink, Water Path","Routes 110, 117, 119, 120, 121 & 123, Safari Zone",Trade from Ruby/Sapphire/Emerald/FireRed,Trade from Ruby/Sapphire/Emerald/FireRed
Gloom,44,FALSE,"Routes 121 & 123, Safari Zone","Routes 121 & 123, Safari Zone",Trade from Ruby/Sapphire/Emerald/FireRed,"Routes 12, 13, 14, 15, Berry Forest, Bond Bridge, Cape Brink, Water Path","Routes 121 & 123, Safari Zone",Trade from Ruby/Sapphire/Emerald/FireRed,Trade from Ruby/Sapphire/Emerald/FireRed
Vileplume,45,FALSE,Evolve Gloom,Evolve Gloom,Trade from Ruby/Sapphire/Emerald/FireRed,Evolve Gloom,Evolve Gloom,Trade from Ruby/Sapphire/Emerald/FireRed,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/Colosseum
Paras,46,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Mt. Moon Floor 1 & Basements 1 & 2, Safari Zone Areas 1 & 2","Mt. Moon Floor 1 & Basements 1 & 2, Safari Zone Areas 1 & 2",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Humah in Cipher Key Lair
Parasect,47,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Cerulean Cave Floors 1, 2 & Basement 1, Safari Zone Area 1","Cerulean Cave Floors 1, 2 & Basement 1, Safari Zone Area 1",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Paras
Venonat,48,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Routes 12, 13, 14 & 15, Berry Forest, Bond Bridge, Safari Zone Area 3","Routes 12, 13, 14 & 15, Berry Forest, Bond Bridge, Safari Zone Area 3",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Venomoth,49,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Berry Forest, Safari Zone Areas 2 & 3","Berry Forest, Safari Zone Areas 2 & 3",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Angic in Cipher Key Lair
Diglett,50,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Diglett Cave,Diglett Cave,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Dugtrio,51,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Diglett Cave,Diglett Cave,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Stron in Citadark Isle
Meowth,52,FALSE,Trade from FireRed/LeafGreen/Emerald/XD,Trade from FireRed/LeafGreen/Emerald/XD,"Routes 5, 6, 7 & 8, Bond Bridge, Canyon Entrance, Cape Brink, Five Isle Meadow, Kindle Road, Ruin Valley, Seavault Canyon, Treasure Beach, Water Path","Routes 5, 6, 7 & 8, Bond Bridge, Canyon Entrance, Cape Brink, Five Isle Meadow, Kindle Road, Ruin Valley, Seavault Canyon, Treasure Beach, Water Path",Trade for Skitty in Battle Frontier,Trade from FireRed/LeafGreen/Emerald/XD,Snagged from Cipher Peon Fostin in Phenac Training School
Persian,53,FALSE,Trade from FireRed/LeafGreen/Emerald/XD,Trade from FireRed/LeafGreen/Emerald/XD,"Bond Bridge, Canyon Entrance, Cape Brink, Five Isle Meadow, Kindle Road, Ruin Valley, Seavault Canyon, Treasure Beach, Water Path","Bond Bridge, Canyon Entrance, Cape Brink, Five Isle Meadow, Kindle Road, Ruin Valley, Seavault Canyon, Treasure Beach, Water Path",Evolve Meowth,Trade from FireRed/LeafGreen/Emerald/XD,Evolve Meowth
Psyduck,54,FALSE,Safari Zone (Surf),Safari Zone (Surf),Trade from Ruby/Sapphire/Emerald/FireRed,"Treasure Beach, Kindle Road, Mt. Ember, Cape Brink, Bond Bridge, Four Island, Icefall Cave, Memorial Pillar, Five Isle Meadow, Water Labyrinth, Resort Gorgeous, Water Path, Ruin Valley, Grass Path, Outcast Island, Tanoby Ruins, Canyon Entrance, Trainer Tower, Route 23, Route 22, Route 24, Route 25, Route 4, Cerulean Cave, Celadon City, Cerulean City, Viridian City, Route 21, Route 20, Route 19, Seafoam Islands, Safari Zone, Fuchsia City, Route 14, Route 13, Route 12, Route 10, Route 11, Route 8, Route 6 (Fish & Surf)",Safari Zone (Surf),Trade from Ruby/Sapphire/Emerald/FireRed,Trade from Ruby/Sapphire/Emerald/FireRed
Golduck,55,FALSE,Safari Zone (Surf),Safari Zone (Surf),Trade from Ruby/Sapphire/Emerald/FireRed/XD,"Cerulean Cave Floor 1 & Basement 1, Berry Forest (Surf), Seafoam Island Basements 1, 2, 3 & 4, Cape Brink",Safari Zone (Surf),Trade from Ruby/Sapphire/Emerald/FireRed/XD,Snagged from Navigator Abson in Citadark Isle
Mankey,56,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Route 3, 4, 22 & 23, Rock Tunnel Floor 1 & Basement 1","Route 3, 4, 22 & 23, Rock Tunnel Floor 1 & Basement 1",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Primeape,57,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Route 23, Cerulean Cave Floor 1, Victory Road Floor 2","Route 23, Cerulean Cave Floor 1, Victory Road Floor 2",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Admin Gorigan in Cipher Key Lair
Growlithe,58,FALSE,Trade from FireRed/XD,Trade from FireRed/XD,Trade from FireRed/XD,"Routes 7 & 8, Pokémon Mansion Floors 1, 2 & 3 & Basement 1",Trade from FireRed/XD,Trade from FireRed/XD,Snagged from Cipher Peon Humah in Cipher Key Lair
Arcanine,59,FALSE,Trade from FireRed/XD,Trade from FireRed/XD,Trade from FireRed/XD,Evolve Growlithe,Trade from FireRed/XD,Trade from FireRed/XD,Evolve Growlithe
Poliwag,60,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Routes 6, 22, 23, 25, Four Island, Fuchsia City, Viridian City, Berry Forest, Cape Brink, Cerulean Cave Floor 1 & Basement 1, Icefall Cave Entrance, Ruin Valley, Safari Zone Areas 1, 2, 3 & Plaza (Fish)","Routes 6, 22, 23, 25, Four Island, Fuchsia City, Viridian City, Berry Forest, Cape Brink, Cerulean Cave Floor 1 & Basement 1, Icefall Cave Entrance, Ruin Valley, Safari Zone Areas 1, 2, 3 & Plaza (Fish)",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Poliwhirl,61,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Routes 6, 22, 23, 25, Four Island, Viridian City, Cape Brink, Cerulean Cave Floor 1 & Basement 1, Icefall Cave Entrance, Ruin Valley (Fish)","Routes 6, 22, 23, 25, Four Island, Viridian City, Cape Brink, Cerulean Cave Floor 1 & Basement 1, Icefall Cave Entrance, Ruin Valley (Fish)",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Poliwrath,62,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Poliwhirl,Evolve Poliwhirl,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Admin Gorigan in Citadark Isle
Abra,63,FALSE,Granite Cave Floor 1 & Basements 1 & 2,Granite Cave Floor 1 & Basements 1 & 2,Routes 24 & 25,Routes 24 & 25,Route 116 & Granite Cave Floor 1 & Basements 1 & 2,Trade from Ruby/Sapphire/EmeraldFireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Kadabra,64,FALSE,Evolve Abra,Evolve Abra,Cerulean Cave Floor 2 & Basement 1,Cerulean Cave Floor 2 & Basement 1,Evolve Abra,Trade from Ruby/Sapphire/EmeraldFireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Alakazam,65,FALSE,Evolve Kadabra,Evolve Kadabra,Evolve Kadabra,Evolve Kadabra,Evolve Kadabra,Trade from Ruby/Sapphire/EmeraldFireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Machop,66,FALSE,"Route 112, Fiery Path, Jagged Path","Route 112, Fiery Path, Jagged Path","Mt. Ember, Mt. Ember Cave, Mt. Ember Floor 1, Rock Tunnel Floor 1 & Basement 1, Victory Road Floors 1, 2 & 3","Mt. Ember, Mt. Ember Cave, Mt. Ember Floor 1, Rock Tunnel Floor 1 & Basement 1, Victory Road Floors 1, 2 & 3","Fiery Path, Jagged Path",Trade from Ruby/Sapphire/EmeraldFireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Machoke,67,FALSE,Evolve Machop,Evolve Machop,"Cerulean Cave Floors 1 & 2 & Basement 1, Mt. Ember Cave, Mt. Ember Floor 1, Victory Road Floors 1, 2 & 3","Cerulean Cave Floors 1 & 2 & Basement 1, Mt. Ember Cave, Mt. Ember Floor 1, Victory Road Floors 1, 2 & 3",Evolve Machop,Trade from Ruby/Sapphire/EmeraldFireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Machamp,68,FALSE,Evolve Machoke,Evolve Machoke,Evolve Machoke,Evolve Machoke,Evolve Machoke,Trade from Ruby/Sapphire/EmeraldFireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Bellsprout,69,FALSE,Trade from LeafGreen,Trade from LeafGreen,"Routes 5, 6, 7, 12, 13, 14, 15, 24, 25, Berry Forest, Bond Bridge, Cape Brink, Water Path",Trade from LeafGreen,Trade from LeafGreen,Trade from LeafGreen,Trade from LeafGreen
Weepinbell,70,FALSE,Trade from LeafGreen/XD,Trade from LeafGreen/XD,"Routes 12, 13, 14, 15, Berry Forest, Bond Bridge, Cape Brink, Water Path",Trade from LeafGreen/XD,Trade from LeafGreen/XD,Trade from LeafGreen/XD,Snagged from Cipher Peon Angic in Cipher Key Lair
Victreebel,71,FALSE,Trade from LeafGreen/XD,Trade from LeafGreen/XD,Evolve Weepinbell,Trade from LeafGreen/XD,Trade from LeafGreen/XD,Trade from LeafGreen/XD,Evolve Weepinbell
Tentacool,72,FALSE,"Routes 103, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133 & 134. Dewford Town, EverGrande City, Lilycove City, Mossdeep City, Pacifidlog Town, Slateport City, Seafloor Cavern, Shoal Cave (Surf & Fish)","Routes 103, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133 & 134. Dewford Town, EverGrande City, Lilycove City, Mossdeep City, Pacifidlog Town, Slateport City, Seafloor Cavern, Shoal Cave (Surf & Fish)","Bond Bridge, Berry Forest, Route 21, Route 20, Route 19, Memorial Pillar, Five Isle Meadow, Water Labyrinth, Resort Gorgeous, Fortune Island, Icefall Cave, Tanoby Ruins, Trainer Tower, Route 12, Route 13, Route 14, Route 11, Route 10, Route 4, Celadon City, Route 24, Vermillion City, Treasure Beach, Kindle Road, Mt. Ember","Bond Bridge, Berry Forest, Route 21, Route 20, Route 19, Memorial Pillar, Five Isle Meadow, Water Labyrinth, Resort Gorgeous, Fortune Island, Icefall Cave, Tanoby Ruins, Trainer Tower, Route 12, Route 13, Route 14, Route 11, Route 10, Route 4, Celadon City, Route 24, Vermillion City, Treasure Beach, Kindle Road, Mt. Ember","Routes 103, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133 & 134. Dewford Town, EverGrande City, Lilycove City, Mossdeep City, Pacifidlog Town, Slateport City, Seafloor Cavern, Shoal Cave (Surf & Fish)",Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Tentacruel,73,FALSE,Abandoned Ship Basement 1 (Surf & Fish),Abandoned Ship Basement 1 (Surf & Fish),"One Island, Five Island, Bond Bridge, Five Isle Meadow, Green Path, Icefall Cave Floor 1, Kindle Road, Memorial Pillar, Outcast Island, Resort Gorgeous, Tanoby Ruins, Trainer Tower, Treasure Beach","One Island, Five Island, Bond Bridge, Five Isle Meadow, Green Path, Icefall Cave Floor 1, Kindle Road, Memorial Pillar, Outcast Island, Resort Gorgeous, Tanoby Ruins, Trainer Tower, Treasure Beach",Abandoned Ship Basement 1 (Surf & Fish),Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Geodude,74,FALSE,"Granite Cave Floor 1 (Cave), Routes 111 & 114, Granite Cave Basement 2, Safari Zone & Victory Road Basement 1 (Rock Smash)","Granite Cave Floor 1 (Cave), Routes 111 & 114, Granite Cave Basement 2, Safari Zone & Victory Road Basement 1 (Rock Smash)","Mt. Ember Cave, Kindle Road (Rock Smash), Victory Road, Mt. Moon, Cerulean Cave, Rock Tunnel, Quest Island","Mt. Ember Cave, Kindle Road (Rock Smash), Victory Road, Mt. Moon, Cerulean Cave, Rock Tunnel, Quest Island","Magma Hideout Granite Cave Floor 1 (Cave), Routes 111 & 114, Granite Cave Basement 2, Safari Zone & Victory Road Basement 1 (Rock Smash)",Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
